tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
39,5,-0.980045,0.196560,10.3442,56.4494
39,6,-0.946383,0.156483,22.4121,81.1044
39,7,-0.899031,0.115847,37.2753,107.5118
39,8,-0.851326,0.067992,51.8728,114.4315
39,9,-0.798485,0.011353,62.0538,114.4315
39,10,-0.840605,0.062903,76.2247,114.4315
39,11,-0.846670,0.070454,62.5692,107.5845
39,12,-0.831506,0.048320,69.6371,107.5845
39,13,-0.842258,0.051039,85.1920,107.5845
39,14,-0.836442,0.047190,101.9918,107.5845
40,5,-0.196837,0.983037,37.2039,113.9158
40,6,-0.155284,0.947649,65.3908,114.5663
40,7,-0.116235,0.895244,99.0866,114.6386
40,11,-0.167092,0.952519,27.3895,67.7341
40,12,-0.154056,0.939924,33.1185,80.2175
40,13,-0.135755,0.922948,40.0415,97.0023
40,14,-0.113834,0.901776,48.0038,107.5845
40,15,-0.087992,0.873205,57.0529,107.5845
41,5,0.589588,1.766306,37.0593,113.7712
41,6,0.625573,1.726308,65.1981,114.5663
41,7,0.667266,1.678119,98.7975,114.6386
41,11,0.611056,1.739572,27.2941,67.7138
41,12,0.625414,1.725440,32.9707,80.2250
41,13,0.643892,1.707479,39.9061,96.9756
41,14,0.666665,1.683804,46.8691,107.5845
41,15,0.692296,1.658613,55.7674,107.5845
42,5,1.374086,2.552004,36.6979,113.7230
42,6,1.414178,2.510518,65.1981,114.5663
42,7,1.455553,2.465586,99.0866,114.6386
42,11,1.395049,2.523550,27.1636,67.7318
42,12,1.411047,2.511804,33.2632,80.2229
42,13,1.429347,2.493475,39.9949,97.0561
42,14,1.452869,2.471136,48.2929,107.5845
42,15,1.478767,2.446730,57.3279,107.5845
43,5,2.154912,3.338137,36.7702,113.9158
43,6,2.193611,3.297697,65.1981,114.5904
43,7,2.235371,3.259820,98.7975,114.6386
43,11,2.190569,3.310270,27.3328,67.7435
43,12,2.206504,3.297672,33.1459,80.2219
43,13,2.222957,3.280320,40.3176,91.4674
43,14,2.243979,3.259307,48.3625,107.5845
43,15,2.269711,3.234728,57.3107,107.5845
44,5,2.945267,4.125286,36.3365,113.7712
44,6,2.990267,4.092711,65.1981,114.5663
44,7,3.027281,4.043482,98.7975,114.6386
44,11,2.968318,4.098126,27.4023,67.7435
44,12,2.984624,4.081909,33.1150,80.2205
44,13,3.003309,4.064416,40.5092,96.9980
44,14,3.025999,4.042630,48.0156,107.5845
44,15,3.052574,4.015315,56.2016,107.5845
45,5,-2.554417,-1.375812,36.5533,113.8435
45,6,-2.518145,-1.416832,65.4391,114.5663
45,7,-2.466848,-1.458930,98.6529,114.6386
45,11,-2.534076,-1.405539,27.1400,67.7441
45,12,-2.521926,-1.420155,33.0479,80.2205
45,13,-2.503711,-1.436999,39.9877,96.9900
45,14,-2.480959,-1.458831,48.2931,107.5845
45,15,-2.455432,-1.483145,56.8636,107.5845
46,5,-1.766246,-0.586438,36.9629,113.8435
46,6,-1.726354,-0.624897,65.2463,114.5904
46,7,-1.680901,-0.671461,98.4120,114.6386
46,11,-1.736336,-0.616645,27.2752,67.7411
46,12,-1.723025,-0.631137,33.5232,80.2270
46,13,-1.705952,-0.649104,40.1037,91.4674
46,14,-1.682567,-0.673284,48.2934,107.5845
46,15,-1.660487,-0.700234,56.7962,107.5845
47,5,-0.982599,0.195435,36.7702,113.9158
47,6,-0.945181,0.154510,65.1981,114.5663
47,7,-0.894450,0.107058,99.2312,114.6386
47,11,-0.952130,0.167213,27.1674,67.7438
47,12,-0.939317,0.152916,32.9108,80.2265
47,13,-0.922448,0.133449,38.9399,97.0184
47,14,-0.901684,0.112134,45.1138,107.5845
47,15,-0.873786,0.085601,52.2887,107.5845
