tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
36,7,3.068176,4.005319,37.7090,106.8613
36,8,3.097835,3.971687,51.8728,114.4315
36,9,3.137708,3.930737,62.0538,114.4315
36,10,-3.141424,-2.323646,76.2247,114.4315
36,11,3.097480,3.973092,62.5692,107.5845
36,12,3.117221,3.965109,74.5890,107.5845
36,13,3.140950,3.961011,85.2021,107.5845
36,14,-3.141553,-2.326034,101.9924,107.5845
37,5,-2.487411,-1.442111,9.6214,56.4976
37,6,-2.458064,-1.465886,22.1230,81.3936
37,7,-2.430578,-1.491399,37.7090,107.3673
37,8,-2.399827,-1.525162,51.8728,114.4315
37,9,-2.359910,-1.567210,62.0538,114.4315
37,10,-2.393256,-1.532714,76.2247,114.4315
37,11,-2.399505,-1.524014,62.5692,107.5845
37,12,-2.392702,-1.536859,74.5890,107.5845
37,13,-2.433735,-1.539829,86.3283,107.5845
37,14,-2.389133,-1.537152,102.0040,107.5845
38,5,-1.700402,-0.656857,10.1273,56.4976
38,6,-1.676101,-0.685191,21.6893,80.8153
38,7,-1.643494,-0.708528,37.8535,107.5118
38,8,-1.613683,-0.741908,51.8728,114.4315
38,9,-1.579484,-0.777535,67.0788,114.4315
38,10,-1.609580,-0.748272,76.2247,114.4315
38,11,-1.617298,-0.739431,62.5692,107.5845
38,12,-1.604070,-0.746654,74.5890,107.5845
38,13,-1.605324,-0.747991,86.3283,107.5845
38,14,-1.606244,-0.750750,102.0213,107.5845
39,5,-0.916154,0.129213,10.3442,56.4494
39,6,-0.887219,0.106029,22.4121,81.1044
39,7,-0.859686,0.078973,37.7090,107.0782
39,8,-0.830692,0.046975,51.8728,114.4315
39,9,-0.791899,0.010115,62.0538,114.4315
39,10,-0.818914,0.033922,76.2247,114.4315
39,11,-0.830839,0.043443,62.5692,107.5845
39,12,-0.820553,0.039832,69.6371,107.5845
39,13,-0.824358,0.036111,85.1920,107.5845
39,14,-0.819424,0.042172,101.9929,107.5845
40,5,-0.130679,0.917304,36.1196,113.9158
40,6,-0.106704,0.886173,65.3426,114.5663
40,7,-0.075742,0.857030,98.7975,114.6386
40,11,-0.106402,0.898514,27.1237,67.7179
40,12,-0.096771,0.888292,33.1185,80.2093
40,13,-0.085718,0.875060,40.0415,97.0334
40,14,-0.072374,0.860228,48.0038,107.5845
40,15,-0.056824,0.840716,56.0361,107.5845
41,5,0.654097,1.701092,36.5774,113.7712
41,6,0.680522,1.678128,65.1981,114.5663
41,7,0.708291,1.641252,99.0866,114.6386
41,11,0.674048,1.682288,27.3052,67.6874
41,12,0.682778,1.673939,32.9707,80.2250
41,13,0.695500,1.662233,39.9061,96.9756
41,14,0.709623,1.648795,46.8691,107.5845
41,15,0.727785,1.629341,55.7674,107.5845
42,5,1.441434,2.487645,36.6979,113.9158
42,6,1.465057,2.460704,65.2463,114.5663
42,7,1.496071,2.426106,99.0866,114.6386
42,11,1.458090,2.465615,27.1636,67.7318
42,12,1.468066,2.456867,33.1148,80.2240
42,13,1.480131,2.443919,39.9905,97.0561
42,14,1.493867,2.429567,48.3046,107.5845
42,15,1.510733,2.413413,57.3279,107.5845
43,5,2.225899,3.270507,37.3484,113.9158
43,6,2.252959,3.246608,65.1981,114.5904
43,7,2.278236,3.208506,98.9421,114.6386
43,11,2.241185,3.252122,27.3328,67.7435
43,12,2.251370,3.243556,33.1459,80.2039
43,13,2.263094,3.232462,40.1675,96.9846
43,14,2.276335,3.219391,48.2968,107.5845
43,15,2.292526,3.203543,57.6000,107.5845
44,5,3.010453,4.056290,36.3365,113.7712
44,6,3.032766,4.027467,65.2945,114.5904
44,7,3.069372,4.001450,98.4120,114.6386
44,11,3.030855,4.039135,27.3838,69.5756
44,12,3.039876,4.030089,33.1150,85.1234
44,13,3.052917,4.017871,40.3942,97.0119
44,14,3.067193,4.003968,48.2929,107.5845
44,15,3.083965,3.985677,56.9796,107.5845
45,5,-2.485187,-1.439964,36.5533,113.8435
45,6,-2.458337,-1.465202,65.4391,114.5663
45,7,-2.427751,-1.493650,98.6529,114.6386
45,11,-2.468390,-1.461552,27.1400,67.6751
45,12,-2.460473,-1.470797,33.0479,80.2112
45,13,-2.448808,-1.483371,39.9877,96.9976
45,14,-2.435321,-1.497239,48.2929,107.5845
45,15,-2.419524,-1.514943,57.4745,107.5845
46,5,-1.700755,-0.654395,36.1919,113.4821
